cue,pooled_r,within_macro_r
saturation,-0.24198908893412407,-0.163869157673398
desaturation,-0.6705259883888379,-0.3389779608653247
vibrance,-0.008171858380760991,0.0022275136637397164
color_temperature,0.04013512292070958,0.0023225009610424816
white_balance,-0.06435780707834082,-0.04070404032626355
contrast,-0.11272004150430612,-0.06042282082335275
dynamic_range,-0.4148852793443835,-0.2723857031866753
shadow_detail,-0.31283146930987327,-0.23899338077604942
highlight_detail,0.22973674376258033,0.09606251182630882
black_point,0.05998989502232636,0.09708051754139206
color_accuracy,-0.668623987735329,-0.4352702941719517
skin_tone,-0.4018065725899313,-0.23859512786457812
hue_consistency,-0.34274870778385885,-0.222947206509975
color_banding,-0.2631335963057898,-0.21060071043602135
color_bleeding,0.07607405281217587,0.26201940752849756
color_depth,0.09914805214172777,-0.068081932339732
chroma_noise,-0.07091344532339773,0.037072033080647854
tint,-0.3402723931020187,-0.07163768565463395
split_toning,-0.13363705272026222,-0.010789598209289507
color_harmony,-0.6264634498057752,-0.4658795318427431
color_uniformity,-0.2945124880616545,-0.06373331018237106
highlight_rolloff,0.36192905752770604,0.25260107106330093
shadow_color,-0.5910442032500576,-0.38734871472547966
highlight_color,-0.5711875078558866,-0.28751975762382703
gamut_clipping,-0.2653417801931483,0.08848214254274213
depth_of_field,0.41157436026689664,0.43462319327970306
bokeh_quality,-0.4555252437296917,-0.2402451381897125
chromatic_aberration,-0.010267659956371963,0.08835948683975316
vignetting,-0.40077193244061504,-0.11123302783826781
lens_distortion,-0.29091322365853,-0.1802145565912225
fisheye_effect,0.0533457478812852,0.1858119771095364
field_curvature,-0.40748965649837315,-0.059948226343478225
lens_flare,-0.3396639202605129,-0.23388007945066266
ghosting,0.00975628776112219,0.05659836318318993
sunstars,-0.4369702938990458,-0.28258766299780264
focus_accuracy,-0.1380633785668439,0.15924177077748103
focus_uniformity,-0.3039980179660189,-0.06195843368377288
focus_breathing,0.37788316707436537,0.285237830115448
edge_sharpness,-0.3614430103182989,-0.25316377346497465
coma_aberration,0.3198739410932667,0.2639175544469643
astigmatism_aberration,0.3288982626281117,0.2662408072922051
onion_ring_bokeh,-0.15116820649997692,-0.09022576154466873
cat_eye_bokeh,0.19466443799776081,0.102718262954138
edge_color_shading,-0.6759017563288314,-0.36398346727180547
macro_rendering,-0.018639879272210155,0.1254855331665295
sharpness,-0.49986553431785713,-0.2670800580766796
motion_freeze,0.24166245410720494,0.2878121212186597
exposure_accuracy,-0.6175165382459268,-0.38258835998199914
low_light_noise,-0.12153472278103623,0.05076526954737294
film_grain,-0.40996662048609056,-0.17800447952418214
hdr_tonemapping,-0.6318383560712291,-0.2615118892351409
long_exposure,0.1444711158881305,0.17448574549713472
panning,-0.5586370232502109,-0.4765177695271179
composition_balance,-0.48034467607733794,-0.22991802755594465
rule_of_thirds,-0.1674748951807988,-0.19526917411148426
symmetry,-0.4627958354872834,-0.140117079424726
leading_lines,-0.5421930120277608,-0.32707170931410606
framing,-0.24910889731070643,-0.019332446202110998
horizon_line,-0.06262262914073438,0.0018926378937252353
subject_isolation,-0.35558137510398374,-0.2304729396205369
depth_cues,-0.39354973922089764,-0.13808783079933074
lighting_quality,0.3769743860244664,0.36039212965708245
backlighting,0.04090435158522679,0.1543278630522683
silhouette,-0.02754237323754347,-0.032842804012629255
micro_contrast,-0.3693386425387333,-0.15761221971678108
texture_detail,-0.5638752568494553,-0.23119387157038343
sharpening_artifacts,-0.25093984040900713,-0.1217965645433575
denoising_artifacts,0.3855098877549165,0.1308333460845422
compression_artifacts,-0.00854324557997737,0.17197510828212753
posterization,-0.7662460274446324,-0.4789261552822592
moire_pattern,0.45708234004485454,0.18472746879004676
banding,-0.23486063734480347,-0.03666763597900561
vignette_edit,-0.13413761943888805,-0.10591079213159287
bloom,-0.11916634120993624,-0.15929282239583023
clarity,-0.5327812647673469,-0.3026232680765236
atmospheric_haze,-0.40109656993034215,-0.16837053065836166
retouching,-0.3189200726414962,-0.1782922992485557
watermark,0.273640525195423,0.039525683046007926
upscaler_artifacts,-0.3342387414189189,-0.08081766571746703
edge_halos,-0.07232116710721294,-0.032576224718121105
flash_use,0.02346513557025178,0.08202447675610805
camera_shake,0.5520550494690178,0.24763271321727323
focus_stacking,-0.544440973860576,-0.4108269769676409
smartphone_cues,-0.36308247110318914,-0.18911742462027925
rolling_shutter,-0.3605964328086544,-0.11572451869529433
sensor_bloom,0.47184088739457203,0.1946405196694565
tone_mapping_baked,0.39594622569172244,0.46693003138245737
dslr_cues,-0.09259554160887926,-0.12919585300467828
mirrorless_cues,-0.1328834786409336,-0.0912905207572313
film_camera_cues,-0.16462750836921908,-0.26373417401581295
medium_format_cues,-0.05722981919307966,-0.007509693797217831
large_format_cues,0.383847301440202,0.21186084709289843
instant_camera_cues,0.2237336330094065,-0.04271670722765798
action_camera_cues,0.18810789945704276,0.19817674141074232
dashcam_cues,-0.09734800937473076,-0.1378925867654907
cctv_cues,0.5073186922263705,0.26565219507450594
drone_camera_cues,-0.05738090727234642,-0.07428138833348208
