cue,pooled_r,within_macro_r
saturation,-0.016978196919915953,0.05255975221055373
desaturation,0.2390126599048516,0.18186530991312003
vibrance,0.11369697341083673,0.1506540753636363
color_temperature,0.037757189180259124,0.018977234965669797
white_balance,0.13301589638929165,0.13367899113364945
contrast,-0.0022906735816333327,-0.02333937977857449
dynamic_range,0.08093841783535871,0.07303783370840991
shadow_detail,0.05849714589890823,0.07845431196305419
highlight_detail,-0.09793977513657848,-0.06412913753275103
black_point,-0.05769185657756746,-0.03186741377844331
color_accuracy,0.13385912925231644,0.09792836583954506
skin_tone,0.20498677577528993,0.13476066483361304
hue_consistency,0.21547432412099837,0.17550276566539605
color_banding,0.10803299356086635,0.08354044129716962
color_bleeding,-0.10817121149702125,-0.06599822597391772
color_depth,0.012223128752684718,0.059044201226567006
chroma_noise,-0.02573533885816058,-0.041344876454559455
tint,0.025043225815764153,0.07462368290700828
split_toning,0.014691393316464369,0.03792436016206151
color_harmony,0.16967267406530537,0.1479018450119145
color_uniformity,0.16793213741464835,0.09299985507506897
highlight_rolloff,0.07678080923229127,-0.02174536717787677
shadow_color,0.1511464969923636,0.14398338129379037
highlight_color,0.12375224614869099,0.09942014585164427
gamut_clipping,0.063561219083745,0.023506436613337296
depth_of_field,0.05990276693790141,0.006658781710308148
bokeh_quality,0.09083991410765321,0.0035179010521460795
chromatic_aberration,0.1711467685968211,0.1578415757525457
vignetting,0.14825272356631447,0.06127621499583745
lens_distortion,0.08730600865645287,-0.0271636047382402
fisheye_effect,-0.09127919845184729,-0.08747439861096398
field_curvature,0.11611806060885618,0.09892199516175798
lens_flare,0.15913007039682026,0.01840091734062234
ghosting,0.1148894928487296,0.09695688490673997
sunstars,0.25552172291959,0.14539145599059514
focus_accuracy,0.01717022860081914,-0.02303659187208279
focus_uniformity,0.05247312700837202,0.05712192147587205
focus_breathing,-0.17052838195652872,-0.14639033320636374
edge_sharpness,-0.11991782232643337,-0.02611406297632226
coma_aberration,0.023508432012617757,0.05770686010141145
astigmatism_aberration,-0.11665398349100425,-0.07890371953503307
onion_ring_bokeh,0.14442885364312377,0.11436140158931381
cat_eye_bokeh,-0.014201254072005043,0.005341059215177392
edge_color_shading,-0.02403282626490185,-0.058267401764752424
macro_rendering,0.056420575316925466,0.034545528745529894
sharpness,0.23373931541758877,0.08449313922908329
motion_freeze,0.035434743725626765,0.010761780227256665
exposure_accuracy,0.277858500039768,0.2171797439366026
low_light_noise,0.4177524264519782,0.31725788416851053
film_grain,-0.013489876813957013,0.03170319042050118
hdr_tonemapping,0.10601516476094923,0.042832909600270294
long_exposure,0.3300676290442246,0.24442216140739265
panning,0.2636474544437912,0.07649931390191407
composition_balance,0.263462106839654,0.18193435896638233
rule_of_thirds,0.025895040246622345,-0.0631154310292932
symmetry,0.2927774256925207,0.23399958317364833
leading_lines,0.1849454916391861,0.13445714519342025
framing,0.43720393024387066,0.34947562191454024
horizon_line,0.13189527000841378,0.09830392322397935
subject_isolation,0.029114141704848818,0.022776142885230347
depth_cues,-0.01685136062995456,-0.04602280350540252
lighting_quality,-0.15270893028017815,-0.15672179118489854
backlighting,0.15738188719348598,0.18348754562967642
silhouette,0.17473752634753123,0.1196445670045934
micro_contrast,-0.007497077492869766,-0.061866389001217575
texture_detail,0.013794328753117849,0.02400402567767287
sharpening_artifacts,-0.043537051796332306,0.04122458138429906
denoising_artifacts,0.11995948550387947,0.11213561675010407
compression_artifacts,-0.062182022269844456,-0.09036538751447287
posterization,-0.18540304952906975,-0.10775303043454199
