cue,pooled_r,within_macro_r
saturation,-0.2308283098174013,-0.14970200479564844
desaturation,-0.6746762849165612,-0.3496058958768056
vibrance,-0.015320488069525007,-0.007280722108669549
color_temperature,0.03207522775162343,-0.010235719268231606
white_balance,-0.055315394452853446,-0.027670035331574805
contrast,-0.1200555343679388,-0.07027095293087972
dynamic_range,-0.42642954467543065,-0.29093986760284946
shadow_detail,-0.31461205530522596,-0.24154471564654637
highlight_detail,0.21326405747180271,0.07446661092347329
black_point,0.05493944597469906,0.08984311782936737
color_accuracy,-0.6695404441987474,-0.43872141610260335
skin_tone,-0.3886293066250885,-0.21962073453345182
hue_consistency,-0.34937194472570116,-0.2348117594503656
color_banding,-0.2572955773552853,-0.2020870791738325
color_bleeding,0.08537159019060758,0.27474152606088154
color_depth,0.08740651250291408,-0.08420040982844286
chroma_noise,-0.05589912019436746,0.05800105541459073
tint,-0.33626027775372763,-0.06683901798490428
split_toning,-0.13090248510218733,-0.007843912964073455
color_harmony,-0.6164840174221015,-0.4512781288116827
color_uniformity,-0.2944916802569469,-0.06254343468966381
highlight_rolloff,0.3646764655687858,0.25864858444604044
shadow_color,-0.5923443679388731,-0.39105524781750645
highlight_color,-0.5682292883257564,-0.28598926371327177
gamut_clipping,-0.2565986965334497,0.09846447438384719
depth_of_field,0.41973552814884496,0.4464664580603728
bokeh_quality,-0.44831806270156,-0.23051237324287532
chromatic_aberration,0.0016886089753919643,0.10589776558955251
vignetting,-0.3917263212739302,-0.10091782977645834
lens_distortion,-0.2790105928082864,-0.16434824787432042
fisheye_effect,0.0719143630160671,0.21299775852777714
field_curvature,-0.40160111926772096,-0.052710816861874565
lens_flare,-0.3272459093123486,-0.21583119318982927
ghosting,0.021989292096801085,0.07526613862913545
sunstars,-0.4385821304597241,-0.2863526675243231
focus_accuracy,-0.1310265714791128,0.1670209270862154
focus_uniformity,-0.3038660355618711,-0.062232661859380325
focus_breathing,0.38897467374629513,0.3032857708256574
edge_sharpness,-0.3658249820572929,-0.25984703705524737
coma_aberration,0.3200837104368654,0.26419814603383873
astigmatism_aberration,0.33249725601677405,0.2717111059835439
onion_ring_bokeh,-0.14576491471164846,-0.08104831492159646
cat_eye_bokeh,0.19239824410962034,0.09927701410687612
edge_color_shading,-0.6705277662117524,-0.36054199146238514
macro_rendering,-0.014276966432098361,0.13137209915005585
sharpness,-0.5059906008428807,-0.27757095873591275
motion_freeze,0.24012513352674097,0.286228860789154
exposure_accuracy,-0.6229026133201871,-0.3936437457909645
low_light_noise,-0.11323676079810277,0.06244374872912366
film_grain,-0.40009308008701544,-0.16615921666992214
hdr_tonemapping,-0.6306705070300936,-0.2620835798053438
long_exposure,0.16340765407703253,0.20210547522880273
panning,-0.560362269639356,-0.4797830034610714
composition_balance,-0.4695871609258143,-0.21385767756649685
rule_of_thirds,-0.15544794775739995,-0.17824767063382968
symmetry,-0.4483977086040722,-0.11878494431673561
leading_lines,-0.5409510074324116,-0.32729621702126954
framing,-0.24340636742439428,-0.012826983076001025
horizon_line,-0.06082183601987795,0.00644233542813083
subject_isolation,-0.35209742804235655,-0.2260456644003132
depth_cues,-0.40219665765756807,-0.1532512581984748
lighting_quality,0.3887252951191502,0.3763686981341142
backlighting,0.05833703381916983,0.17952836756763405
silhouette,-0.022016391636785336,-0.02462867774052687
micro_contrast,-0.3658662651941704,-0.1528525018187321
texture_detail,-0.5642183288944997,-0.2366872683026786
sharpening_artifacts,-0.24655809408959498,-0.1156562863200342
denoising_artifacts,0.38606888863568056,0.13470022628121364
compression_artifacts,-0.001882981887614076,0.1799477834917369
posterization,-0.7669937281569664,-0.4842228812072945
moire_pattern,0.45209271138315726,0.1797774480152615
banding,-0.22651301790244793,-0.02481242640950941
vignette_edit,-0.13107954691182924,-0.10314654215058414
bloom,-0.12200764265150775,-0.16485545434077922
clarity,-0.5401274251229582,-0.31457119860833016
atmospheric_haze,-0.388292660123727,-0.1510083191649868
retouching,-0.32694226864386317,-0.19203630750154138
watermark,0.2648181779320291,0.029614360917383037
upscaler_artifacts,-0.3290956526398179,-0.07441968649797591
edge_halos,-0.06674947085057278,-0.023693522770929905
flash_use,0.026355289248702344,0.0857938285804113
camera_shake,0.5399831700769466,0.23215746595197442
focus_stacking,-0.5433237849578972,-0.4086267234478499
smartphone_cues,-0.35651655533937177,-0.18207402444640336
rolling_shutter,-0.3446826814655926,-0.09149952173886729
sensor_bloom,0.46319600208143663,0.18350323976042857
tone_mapping_baked,0.4016401440034842,0.47347464896431835
dslr_cues,-0.0811771894643832,-0.11301341762981014
mirrorless_cues,-0.13180344327518478,-0.09214779065110261
film_camera_cues,-0.16082524339393783,-0.2586590904880113
medium_format_cues,-0.0661300639919018,-0.02379176631408335
large_format_cues,0.3902271176677461,0.22228919514282197
instant_camera_cues,0.21244793311278487,-0.05821511843353319
action_camera_cues,0.2064215113425835,0.22264260111217077
dashcam_cues,-0.07979124294321399,-0.1132679120671253
cctv_cues,0.5076924561351461,0.2685080316948555
drone_camera_cues,-0.05266783688137541,-0.0665532913442008
microscope_cues,0.32366444123340876,0.08591481351693359
night_vision_cues,0.08382547343126648,-0.005020171745309922
infrared_camera_cues,0.0794174068175574,-0.02751817199557774
pinhole_camera_cues,-0.3675562025004284,-0.3184054377277526
cgi_cues,-0.49516858243574036,-0.3096511019491659
geometry_consistency,-0.4500812391902495,-0.16856852516695364
reflection_consistency,0.2970163616591289,0.2850777500081877
shadow_consistency,0.2740550825982362,0.11555478242117065
lighting_direction,-0.2964095401698979,-0.08777095594754802
specular_highlights,-0.49138465818344595,-0.2988561941798805
texture_realism,0.4211713947181972,0.30757661425156835
tiling_artifacts,0.5499280499400038,0.49039245790708264
object_boundaries,-0.3088831763083462,0.019671472544562606
edge_aliasing,-0.07859355829622715,-0.16657817337931366
oversharpening,-0.4039730969108006,-0.08223334195900774
text_legibility,0.5038644798528569,0.2934810579500276
face_anatomy,-0.2541868455094722,-0.1973495451346829
hands_correctness,0.004277583218896942,-0.0037708395337647076
count_consistency,-0.1354412411708261,-0.040059568705517995
proportion_realism,0.2589070568465695,0.31111267934357234
physics_contact,0.1350954736551768,0.09441555566615158
perspective_coherence,-0.021386649300090575,-0.1615398741318596
occlusion_logic,-0.3706108261031418,-0.10091153077391063
depth_consistency,-0.33000495523151585,-0.03722720090853163
fabric_realism,0.10453026343339807,0.26296614977063865
hair_realism,-0.0750809431744987,-0.03713473732010564
skin_microtexture,0.05253473520770617,0.19558765539586634
eye_catchlight,0.042156257112434065,0.13882027827980253
sensor_noise_pattern,0.5413000251222123,0.2058730860419574
jpeg_grid,-0.3578775726756715,-0.1493667260062087
depth_map_halo,-0.2508493987697421,0.0310798857888194
segmentation_errors,-0.5537196608739887,-0.14581566674183333
style_consistency,-0.6313988543191942,-0.4250926575620024
minimalist_style,-0.34920358080255043,-0.08383151957796296
cinematic_tone,-0.02852273959428233,0.12422909727631956
vintage_aesthetic,0.061420458627792704,0.04263832933897224
documentary_look,0.48804920904219745,0.30425010434563665
studio_quality,-0.0404916256768976,-0.16680389737413184
imperfection_cues,0.2278266213629167,0.014198377310932823
repetition_artifacts,0.5156120327944834,0.27255067308203035
detail_variation,0.3099941341053102,0.2642894113204599
glitch_artifacts,-0.3565732328114436,-0.05055784557816412
cross_processing,0.04179727319937371,0.24467134137808005
fake_lens_effects,-0.7482659377817807,-0.43489795013625787
depth_realism,0.0882822422153707,0.15315924579228207
material_specularity,-0.2750713456121396,-0.12202705513623582
shadow_softness,0.07204873560873268,0.12314950064117904
specular_noise,-0.4733705791817839,-0.345316282444042
reflection_fresnel,0.263995420222621,0.058901062470804455
subsurface_scattering,-0.5247585980743735,-0.42599375865460576
depth_quantization,0.49067750028300744,0.24349385216681452
halo_artifacts,-0.3133761751809116,-0.009595242445280747
ringing_artifacts,0.059670553617382105,-0.0004923056260607572
band_limited_edges,0.12173129114538227,-0.09584507246791887
text_placement,-0.16054665936023363,-0.04630171751064535
logo_rendering,-0.6419680624108911,-0.4669139841017568
print_texture,-0.7486485774577745,-0.5003086337858069
scan_artifacts,-0.27449912487889866,0.022358547019059503
lens_dirt,-0.5512625746008686,-0.32371257747277804
matte_edges,-0.6461221745860358,-0.40090801663622133
scene_textures,-0.28337994839287817,-0.17231926678406034
global_illumination,0.0434960594069979,0.010904540267550545
contact_shadows,-0.17907708669063477,-0.023704486587108664
reflection_blur,0.04461921251626142,0.026533698362540787
edge_coherence,-0.09244147139123404,0.14011077019058066
fine_detail,-0.09549260368504088,0.07671569411882456
background_integration,-0.0351932697139588,0.16344714505350177
depth_layering,-0.7454287779559786,-0.4287287712781307
time_of_day_coherence,-0.2271310650929372,-0.18334210432316658
weather_coherence,-0.4538076957917319,-0.325993364527478
exif_presence,0.058827728018443125,0.19856889010693954
