dataset,concept,contribution,contribution_synth,contribution_real,activation_prob,usage_synth,usage_real,auc,n_images
cnnspot,moire_pattern,0.36726242,0.708575,0.03404543,0.41898727,0.792004048582996,0.026185770750988144,0.9481205293562273,4000
cnnspot,oversharpening,0.2660098,0.5280909,0.010144337,0.43927452,0.7935222672064778,0.06719367588932806,0.9368601578627322,4000
cnnspot,depth_layering,0.23480038,0.5130463,-0.03684647,0.42929474,0.7899797570850202,0.06620553359683795,0.9280948956649757,4000
cnnspot,repetition_artifacts,0.32545397,0.63848937,0.01984275,0.36798394,0.7196356275303644,0.012845849802371542,0.9273352862812244,4000
cnnspot,tiling_artifacts,0.36090168,0.69485456,0.03486905,0.38344866,0.7125506072874493,0.045454545454545456,0.9029710278280072,4000
cnnspot,color_accuracy,0.31730294,0.62017745,0.021611491,0.3697302,0.6912955465587044,0.030632411067193676,0.8940959998239746,4000
cnnspot,onion_ring_bokeh,-0.12145719,-0.01602299,-0.22439136,0.14562318,0.013663967611336033,0.26383399209486164,0.881934748603799,4000
cnnspot,microscope_cues,-0.00057611323,-2.1538774e-05,-0.001117535,0.0009528772,0.0,0.0004940711462450593,0.8614970555760029,4000
cnnspot,scan_artifacts,-0.00024593476,-1.3939665e-05,-0.00047242784,0.000601334,0.0,0.0,0.8578677829607464,4000
cnnspot,vintage_aesthetic,0.24290627,0.42253134,0.067541555,0.27879116,0.4939271255060729,0.04693675889328063,0.8570246615512633,4000
cnnspot,panning,0.27788636,0.5228989,0.03868386,0.3052572,0.5617408906882592,0.03507905138339921,0.8569709038101486,4000
cnnspot,camera_shake,0.18131019,0.3607232,0.006152219,0.3308194,0.5981781376518218,0.06472332015810277,0.8482056416123922,4000
cnnspot,infrared_camera_cues,-0.13991167,-0.031072645,-0.24617,0.15527497,0.025303643724696356,0.24654150197628458,0.8456230197148389,4000
cnnspot,ringing_artifacts,0.2009013,0.36327586,0.042378142,0.23206863,0.4276315789473684,0.022727272727272728,0.834679693875918,4000
synthclic,glitch_artifacts,-0.061431456,-0.028195255,-0.19437662,0.09305519,0.03154205607476635,0.2850467289719626,0.8371487138614726,2140
synthclic,lens_flare,0.2552834,0.30934796,0.039025404,0.35204124,0.42757009345794394,0.04439252336448598,0.8353772709406936,2140
synthclic,ringing_artifacts,0.59434325,0.65815264,0.33910477,0.71793383,0.820677570093458,0.3598130841121495,0.8183479452353917,2140
synthclic,scan_artifacts,-0.064005025,-0.023777133,-0.22491716,0.08161919,0.02102803738317757,0.2757009345794392,0.8170227749148398,2140
synthclic,motion_freeze,-0.035497453,-0.014681422,-0.11876162,0.07203515,0.02044392523364486,0.21261682242990654,0.8152226722857892,2140
synthclic,print_texture,-0.04662868,-0.015271028,-0.17205945,0.07765157,0.01985981308411215,0.23598130841121495,0.8112157721198359,2140
synthclic,physics_contact,-0.025288243,-0.009060044,-0.09020117,0.04409521,0.007009345794392523,0.13551401869158877,0.8094183989868111,2140
synthclic,object_boundaries,-0.05159944,-0.02447618,-0.16009322,0.08348134,0.030957943925233645,0.21261682242990654,0.8053214254520046,2140
synthclic,sensor_noise_pattern,-0.020680087,-0.009028026,-0.06728859,0.050427955,0.014018691588785047,0.1261682242990654,0.7900771901476111,2140
synthclic,chromatic_aberration,-0.03285563,-0.012357336,-0.11484909,0.06198582,0.010514018691588784,0.20327102803738317,0.7876493034326142,2140
synthclic,sunstars,-0.016993219,-0.005550185,-0.06276549,0.054410826,0.012266355140186916,0.16121495327102803,0.7742474779456722,2140
synthclic,coma_aberration,0.25495213,0.29945794,0.07692865,0.32018873,0.36039719626168226,0.06775700934579439,0.7710921805397851,2140
synthclic,geometry_consistency,0.63258123,0.70245117,0.35310197,0.7483925,0.8294392523364486,0.49065420560747663,0.7704248187614638,2140
synthclic,rolling_shutter,-0.05487386,-0.023818675,-0.17909487,0.080346204,0.02336448598130841,0.26401869158878505,0.7658024172416805,2140
