alpha,nnz,cos_coverage,val_score_r2,val_auroc,residual_norm_frac
0.06309573444801933,40,0.384443920667494,0.5397243411186567,0.20761245674740486,0.9937090889452018
0.047671725265692966,47,0.3955230051112766,0.5618803658525816,0.19946655132641294,0.9894803564370737
0.036018177927383696,58,0.41297046612169475,0.5860280384875091,0.1878844675124952,0.9798558802235094
0.02721338768375306,72,0.42775699383927557,0.6169504297655692,0.17272202998846597,0.9731812495663426
0.02056096426419195,86,0.4419593813099166,0.6493755778846835,0.1591935793925413,0.9667960861393181
0.015534752835119101,98,0.45780419222021274,0.6797044458959604,0.14732314494425222,0.9575849882262334
0.011737219254280213,106,0.46804276771741693,0.7040626756980639,0.13809592464436757,0.9551648487720642
0.008868008219069284,114,0.47473239480748364,0.7238853702199091,0.13136774317570163,0.9571402251448929
0.006700187503509591,122,0.4790447664321682,0.7380396224858694,0.12593713956170705,0.9609454046080048
0.005062299388226954,132,0.48277485194194586,0.7482773532149899,0.12226066897347175,0.9656858784902647
0.003824799691444383,140,0.4858587766870568,0.7563121575561017,0.11776720492118417,0.9706114587272856
0.0028898118340639728,148,0.4883375248077695,0.7624194570899148,0.11466743560169168,0.9749207906414419
0.0021833855652562367,157,0.48962062642985404,0.7662888062525406,0.11274509803921569,0.9795853187254367
0.0016496480740980208,157,0.4905250729645469,0.7685421822398332,0.11106305267204922,0.9836242500061465
0.0012463848857844474,161,0.4911079302928962,0.7698619404759126,0.11055843906189927,0.9872438961385345
0.0009417010257544203,164,0.4915696568139713,0.7705399380398499,0.10988562091503269,0.9902140101988619
0.0007114983758398155,165,0.4917731127967141,0.7709884951420007,0.10938100730488276,0.9925885421056252
0.0005375697009750434,166,0.4918784089397129,0.7712364305252817,0.10882833525567091,0.9945292040606619
0.00040615859883769796,166,0.4919183811465138,0.7713800258374517,0.1086361014994233,0.996101872133416
0.0003068714756627635,166,0.4919273652059801,0.7714444927240991,0.10837178008458286,0.9973606501493217
0.00023185549399896554,166,0.49191691586467506,0.7714910788626602,0.10839580930411381,0.998333535979339
0.00017517747448309772,166,0.49190033787438225,0.771517659270009,0.10829969242599001,0.9990871685922478
0.00013235462760443923,167,0.491852647484073,0.7715327190601944,0.10834775086505191,0.9997208975147432
0.0001,168,0.4918064726562151,0.7715478327683112,0.10829969242599001,1.0002093462583674
