cue,pooled_r,within_macro_r
saturation,-0.023970779410151813,0.04300145262153832
desaturation,0.20276321621851326,0.1318805234427153
vibrance,0.0729349585350675,0.0906886572588289
color_temperature,0.02827431390026302,0.0023559884632940314
white_balance,0.1364842369597453,0.12416810368360029
contrast,0.008440770585290264,-0.0014409874024465903
dynamic_range,0.06946351188438428,0.0636805647149712
shadow_detail,0.04930349396896191,0.08427133791827089
highlight_detail,-0.12200714996525387,-0.09549900445258162
black_point,-0.08567805967103158,-0.0596935152523156
color_accuracy,0.16833085436963055,0.13288759990735452
skin_tone,0.23142818841634102,0.1763322690843594
hue_consistency,0.2021607852502903,0.155421336365078
color_banding,0.1457270409818414,0.1326727541094533
color_bleeding,-0.09708677680771216,-0.05627252270010031
color_depth,-0.01956513557948949,0.011759762004385502
chroma_noise,-0.024877267115858408,-0.033985231211919605
tint,0.011649654335099662,0.05522545332606944
split_toning,0.0008950295916057889,0.02165598216762619
color_harmony,0.1605858789156417,0.12841937787047744
color_uniformity,0.15957279326866772,0.09758374448045869
highlight_rolloff,0.09245888990793846,-0.0007659276689848567
shadow_color,0.15940168626224802,0.14596932995949408
highlight_color,0.15849793537459708,0.1533510629074746
gamut_clipping,0.06817075612440042,0.029982876521155662
depth_of_field,0.07487002370897378,0.03495090240729744
bokeh_quality,0.11471019413973643,0.026363417616609187
chromatic_aberration,0.18578880818432558,0.17665177308533286
vignetting,0.1624498978350418,0.08053673684786916
lens_distortion,0.09719093418737952,-0.011798464844018775
fisheye_effect,-0.09690878777971794,-0.10426004678692075
field_curvature,0.10928466240914135,0.10026103190095623
lens_flare,0.196244774187704,0.06775809639657268
ghosting,0.15499234655995603,0.15593278207206088
sunstars,0.2663478496798741,0.15637147052440165
focus_accuracy,0.027907168518958126,-0.004597248119787457
focus_uniformity,0.042161651762184275,0.045572596424258094
focus_breathing,-0.1351494859919293,-0.10139570060789578
edge_sharpness,-0.14870945987411208,-0.05431739211277861
coma_aberration,0.04526545243899247,0.081771950735571
astigmatism_aberration,-0.0768586140477356,-0.026603280292029005
onion_ring_bokeh,0.1675755221720022,0.1574080895681807
cat_eye_bokeh,-0.025130271716071358,-0.01814476067403235
edge_color_shading,0.007632987711732609,-0.015377782869456806
macro_rendering,0.008598628560677673,-0.030863637120039804
