cue,pooled_r,within_macro_r
saturation,0.00900031498201045,0.0842647937542403
desaturation,0.20237329707295143,0.1326820411202156
vibrance,0.0861223460890205,0.1190328092445782
color_temperature,0.04386536219251349,0.022384664399077717
white_balance,0.12988908606365146,0.12754070063883102
contrast,-0.020391281593494886,-0.05053888831405533
dynamic_range,0.061623533431384755,0.052611504160981086
shadow_detail,0.0447797084186111,0.06649451820852684
highlight_detail,-0.13117732697064105,-0.10490825991168702
black_point,-0.09013155265975545,-0.07777868626358336
color_accuracy,0.12582154932077505,0.0802799023668165
skin_tone,0.21095106602056218,0.14035153763371375
hue_consistency,0.20553638905695015,0.16016619496525247
color_banding,0.11569587463626801,0.09205439947781877
color_bleeding,-0.13081583822868814,-0.10048806395129195
color_depth,0.005115924140922084,0.052883479853314784
chroma_noise,0.0033846257439891685,-0.003969072449973957
tint,0.03394621498395118,0.07886277591468865
split_toning,0.012312602806894618,0.0388502563801503
color_harmony,0.18524327782310573,0.1673235193658302
color_uniformity,0.1306971526602921,0.05029401269794903
highlight_rolloff,0.09044116597064716,-0.011969346277768068
shadow_color,0.145597197669144,0.13219185125100005
highlight_color,0.11521323902284794,0.09391412111506059
gamut_clipping,0.06560365314226828,0.028973009013653187
depth_of_field,0.061130631161875025,0.015482259175798652
bokeh_quality,0.10694418890176831,0.013182810628748634
chromatic_aberration,0.18665017933086173,0.16945838215923598
vignetting,0.14486091534914708,0.050101128473192626
lens_distortion,0.11060379675213118,-0.0007255054642444497
fisheye_effect,-0.059143618884159074,-0.0548724378074122
field_curvature,0.1224982332140278,0.10469137109248443
lens_flare,0.18017537208015535,0.03357068632478499
ghosting,0.10751885515151922,0.08610546460773438
sunstars,0.24392173243382312,0.1262833510417058
focus_accuracy,-0.004850973018461637,-0.057189701339972046
focus_uniformity,0.01620689067896655,0.013282129082234778
focus_breathing,-0.1738359733955965,-0.15639999949247957
edge_sharpness,-0.14496834407504283,-0.058892903082123534
coma_aberration,0.03721717706123423,0.07444741082784968
astigmatism_aberration,-0.10702109823738132,-0.07177810345092671
onion_ring_bokeh,0.13484644189471418,0.10595877371571516
cat_eye_bokeh,0.03176506459342358,0.06177146108146908
edge_color_shading,0.008265452810342248,-0.022721867156230112
macro_rendering,0.049084073139617844,0.020968587328230995
sharpness,0.25110185008404934,0.09363912107456324
motion_freeze,0.01701769480570308,-0.009517767456009704
exposure_accuracy,0.25147102349942124,0.17460509560874338
low_light_noise,0.4217717404948462,0.31947355804281624
film_grain,-0.02353405112451019,0.01923060972528264
hdr_tonemapping,0.07521316717823227,0.0016665662150307289
long_exposure,0.32394040850166755,0.24194103440823803
panning,0.2972542347525473,0.11168150301246274
composition_balance,0.2876500941378409,0.2101729567978412
rule_of_thirds,0.06402746000860492,-0.019864780657432822
symmetry,0.2544128605972906,0.17901257937830922
leading_lines,0.14202310982694216,0.08839327066446673
framing,0.42580832833119453,0.3286403447720375
horizon_line,0.13175194392277179,0.09735560264671364
subject_isolation,0.04329509809236966,0.030347979662042484
