cue,pooled_r,within_macro_r
saturation,-0.014252001543339747,0.05380618043018029
desaturation,0.21167775825913193,0.14309927093253041
vibrance,0.0919545521764759,0.11965203744329114
color_temperature,0.030822377613510754,0.003648588796875597
white_balance,0.12073681705331267,0.10865622924859769
contrast,-0.00899100687505569,-0.027549658950977482
dynamic_range,0.07705981664459295,0.07463709462101831
shadow_detail,0.04743531926793723,0.07409931331982224
highlight_detail,-0.1126541840054868,-0.08144339617090704
black_point,-0.08989063471117277,-0.0735728955321444
color_accuracy,0.16301983580954016,0.13072824700026225
skin_tone,0.22461406958554864,0.16118853601108055
hue_consistency,0.2335346475303788,0.19192990184059655
color_banding,0.13945708437172433,0.1257504448086922
color_bleeding,-0.11777698740115128,-0.076687865911293
color_depth,-0.016244164148350147,0.018591612699278393
chroma_noise,-0.025836177280352094,-0.0354739026567579
tint,0.008800535304972731,0.04810062425053371
split_toning,0.005699115797665255,0.025475804552079522
color_harmony,0.17080996263313739,0.14336593038900544
color_uniformity,0.14865841009626873,0.0813464362097353
highlight_rolloff,0.09159870214457595,-0.0003282853322335473
shadow_color,0.15869429612014493,0.14732404749584704
highlight_color,0.1418498030983045,0.13037287703650305
gamut_clipping,0.06029473908272463,0.016636222889450894
depth_of_field,0.06070186989560781,0.012751587132355057
bokeh_quality,0.11571710834366672,0.026023595856666592
chromatic_aberration,0.1643884986372512,0.1458867671592906
vignetting,0.1600243276790437,0.07781387581195401
lens_distortion,0.09780403963060452,-0.010984555920233667
fisheye_effect,-0.07390435693605717,-0.07183342548773715
field_curvature,0.10534116226399592,0.08326987627017525
lens_flare,0.1792403379429714,0.040713755770769564
ghosting,0.13640182631591483,0.1269067998385103
sunstars,0.24902838642719716,0.1347895102059835
focus_accuracy,0.011330541122024805,-0.02643352401113261
focus_uniformity,0.03740402462356776,0.04168446378696526
focus_breathing,-0.14022561056187974,-0.10992375838789953
edge_sharpness,-0.16418917070211042,-0.08053445785542741
coma_aberration,0.04924561624028487,0.08606863397885478
astigmatism_aberration,-0.0818629671912882,-0.03263593568836389
onion_ring_bokeh,0.14274140545605443,0.12472270252973086
cat_eye_bokeh,-0.0021559964337532437,0.012092226881590607
edge_color_shading,0.002605916206746312,-0.025495048374807282
macro_rendering,0.02351691429697584,-0.01657096833968099
sharpness,0.2557113932536762,0.10261473008213398
motion_freeze,0.01876580234737357,0.003540437029490905
exposure_accuracy,0.2629189305111778,0.184901931042469
low_light_noise,0.41243114153420235,0.3044900843157817
film_grain,-0.004909622461429718,0.047041329047793255
hdr_tonemapping,0.10310935469781485,0.0436869831488278
long_exposure,0.3120458898667322,0.23273552418488136
panning,0.2921602920247123,0.1123866309948896
composition_balance,0.2717420868381104,0.1933838626079215
rule_of_thirds,0.042078435595133086,-0.04016465538265612
symmetry,0.2598897493904463,0.19262187597663205
leading_lines,0.15766952499522,0.11349669429712275
framing,0.43673389755047776,0.34304722325408055
horizon_line,0.13381485268742757,0.0968849537059609
subject_isolation,0.041191153504405574,0.03303845772684923
depth_cues,-0.02091363137287531,-0.043500220526621315
lighting_quality,-0.14212585021093394,-0.1332326452701736
backlighting,0.14540919769318977,0.16254444192970002
silhouette,0.17513854831770456,0.12144738376388908
micro_contrast,0.008544967538518933,-0.044777093130147494
texture_detail,0.015091192332943718,0.01780198828989315
sharpening_artifacts,-0.028631777981643215,0.058853479757793356
denoising_artifacts,0.1338600499929552,0.12766096014196884
compression_artifacts,-0.046553583262350554,-0.07300149599579903
posterization,-0.17927096298992864,-0.10217827163026907
moire_pattern,-0.012649689192056064,0.04949849847433653
banding,0.058645636137714015,0.11833100747215894
vignette_edit,0.13741888861000226,0.10067361343798273
bloom,0.04800831287190633,-0.045337275978801585
clarity,0.3119668024745359,0.2626277270317191
atmospheric_haze,0.12898942877086014,0.05197261508567142
retouching,0.007440760881955206,0.08291418278128543
watermark,-0.26551613289947584,-0.20483918961068437
upscaler_artifacts,-0.19181864121402234,-0.030170300178664823
edge_halos,0.02538036385105927,0.09046086413489136
flash_use,0.1500787427395448,0.03286171423144012
camera_shake,-0.02054011219372005,0.046083965733944326
focus_stacking,0.24457618736267456,0.13085578753565213
