test_corpus,generator,generator_display,train_set,acc,ap,n_fake,n_real
cnnspot,san,SAN,cnnspot,0.5727923627684964,0.714749723577934,219,200
cnnspot,seeingdark,SeeingDark,cnnspot,0.6666666666666666,0.8324409853671398,180,180
cnnspot,guided,Guided,cnnspot,0.7345,0.9047057546395028,1000,1000
cnnspot,deepfake,DeepFake,cnnspot,0.6921369102682701,0.9171630485010924,2698,2707
cnnspot,glide_100_27,GLIDE-100-27,cnnspot,0.8455,0.9780107383311994,1000,1000
cnnspot,glide_100_10,GLIDE-100-10,cnnspot,0.8605,0.978231150497886,1000,1000
cnnspot,stylegan2,StyleGAN2,cnnspot,0.7662118177265899,0.9788803648301012,7988,7988
cnnspot,ldm_200_cfg,LDM-200-CFG,cnnspot,0.8615,0.9805316893090203,1000,1000
cnnspot,glide_50_27,GLIDE-50-27,cnnspot,0.8815,0.9856748040071492,1000,1000
cnnspot,whichfaceisreal,WhichFaceIsReal,cnnspot,0.94,0.9927027740722864,1000,1000
cnnspot,stylegan,StyleGAN,cnnspot,0.8793189784677016,0.9942336393408862,5991,5991
cnnspot,crn,CRN,cnnspot,0.735271074898151,0.996166730138394,6382,6382
cnnspot,dalle,DALLE,cnnspot,0.9695,0.9964969679407312,1000,1000
cnnspot,ldm_200,LDM-200,cnnspot,0.974,0.9976498029011702,1000,1000
cnnspot,ldm_100,LDM-100,cnnspot,0.978,0.998133477226241,1000,1000
cnnspot,biggan,BigGAN,cnnspot,0.98075,0.9989856512590154,2000,2000
cnnspot,cyclegan,CycleGAN,cnnspot,0.9265707797123393,0.999183193368272,1321,1321
cnnspot,imle,IMLE,cnnspot,0.7355061109370103,0.999746547211665,6382,6382
cnnspot,gaugan,GauGAN,cnnspot,0.9671,0.9999797142000436,5000,5000
cnnspot,stargan,StarGAN,cnnspot,0.9937468734367184,0.9999850461006576,1999,1999
cnnspot,progan,ProGAN,cnnspot,0.9995,0.9999991252024262,4000,4000
cnnspot,stargan,StarGAN,synthbuster-plus,0.4432216108054027,0.332823873502456,1999,1999
cnnspot,stylegan2,StyleGAN2,synthbuster-plus,0.50100150225338,0.4644610650091755,7988,7988
cnnspot,whichfaceisreal,WhichFaceIsReal,synthbuster-plus,0.532,0.4840858711714434,1000,1000
cnnspot,stylegan,StyleGAN,synthbuster-plus,0.5252879318978467,0.5031307157243504,5991,5991
cnnspot,deepfake,DeepFake,synthbuster-plus,0.5054579093432008,0.5038064186717625,2698,2707
cnnspot,san,SAN,synthbuster-plus,0.522673031026253,0.6285992651463269,219,200
cnnspot,ldm_200_cfg,LDM-200-CFG,synthbuster-plus,0.517,0.6603673753256541,1000,1000
cnnspot,biggan,BigGAN,synthbuster-plus,0.50675,0.662109174026984,2000,2000
cnnspot,guided,Guided,synthbuster-plus,0.534,0.6654131849064442,1000,1000
