seed,mAP,pooled_ap,auroc,n_generators,real_pairing,best_val_ce
123,0.9230203532226358,0.977711176012968,0.92092377063499,4,shared,0.3938141465187073
124,0.9245799130659008,0.9781393785063405,0.9217712791510176,4,shared,0.39298343658447266
125,0.9241578193822735,0.9781526235162877,0.9226897545637174,4,shared,0.3935544192790985
126,0.9184963104017234,0.976497093113103,0.9182338523015112,4,shared,0.39339128136634827
127,0.9238938804679876,0.9780583924037356,0.9221711503188051,4,shared,0.39501598477363586
