cue,pooled_r,within_macro_r
saturation,-0.005367112061699215,0.06713123168038643
desaturation,0.2091574065199758,0.13959429639141416
vibrance,0.06792443973292611,0.09040401518095245
color_temperature,0.019878026148582518,-0.008536649945067943
white_balance,0.09774456053947309,0.07877372251578871
contrast,-0.010255726225218816,-0.027331807937716557
dynamic_range,0.0686497248286904,0.0624056978293631
shadow_detail,0.04652465710328587,0.07347235567088418
highlight_detail,-0.09637077550246236,-0.06659358759806185
black_point,-0.0885084065708006,-0.06617196333707447
color_accuracy,0.15464910643865723,0.12208789759271974
skin_tone,0.22135309286138743,0.16031653962976364
hue_consistency,0.2161361397134828,0.17203285471386903
color_banding,0.12134025431405304,0.10649697031387984
color_bleeding,-0.08814195882644947,-0.038815178483520216
color_depth,-0.012599659804156345,0.02443401465968241
chroma_noise,-0.008277425805189162,-0.013814090141204452
tint,0.018082328574675097,0.06223663896280303
split_toning,-0.009371041260340236,0.00680015277226249
color_harmony,0.15616065596720163,0.1277582587037886
color_uniformity,0.16227000536500955,0.09640348844223133
highlight_rolloff,0.09133416569381847,-0.001243401984764237
shadow_color,0.16065681220563377,0.15020917347193988
highlight_color,0.14668507065939868,0.139728382537327
gamut_clipping,0.07843283298966254,0.03933740224722226
depth_of_field,0.05509995846496809,0.002935601979057005
bokeh_quality,0.09809692578126283,0.006592195170507444
chromatic_aberration,0.17879204126073095,0.16362948114320433
vignetting,0.15730480301488958,0.07534210925311201
lens_distortion,0.07929154031480042,-0.03627122802608723
fisheye_effect,-0.08897149954629677,-0.09091188751280516
field_curvature,0.11929892364471907,0.10389784221390307
lens_flare,0.17542747916262158,0.0368794856545053
ghosting,0.1325966400615147,0.12310236135269066
sunstars,0.24722952320127464,0.13533897554927143
focus_accuracy,0.024731378955587077,-0.009298673558100712
focus_uniformity,0.0324371951079499,0.0384227392664216
focus_breathing,-0.1292595520646555,-0.09269261850903025
edge_sharpness,-0.15049114408901526,-0.06283722668541619
coma_aberration,0.038637192234782194,0.07190961001699062
astigmatism_aberration,-0.08288490246318955,-0.032061037597013994
onion_ring_bokeh,0.14663784806009528,0.12732679315112486
cat_eye_bokeh,-0.01913989335379643,-0.00927140084635759
edge_color_shading,0.023697135500521962,0.004781793602261421
macro_rendering,0.01409110249629067,-0.026128543567436595
sharpness,0.25363868726934213,0.10237449504681698
motion_freeze,0.03371782176235942,0.01868353240662627
exposure_accuracy,0.25441416177278187,0.17539017011274471
low_light_noise,0.40462366765187996,0.2941963243543244
film_grain,0.014809274550700607,0.07768549579614697
hdr_tonemapping,0.13111502548052945,0.08019975246406505
long_exposure,0.31634801321602846,0.23332020060940953
panning,0.2960473401470292,0.11686528982560625
composition_balance,0.2871181191235804,0.21433832142167292
rule_of_thirds,0.06266744629282849,-0.007088834678789605
symmetry,0.26452319784776235,0.20164967795574307
leading_lines,0.16389349434025952,0.12390073981458184
framing,0.4410488931330241,0.3488348157981107
horizon_line,0.12824689016842306,0.09004636287307932
subject_isolation,0.04291934411222181,0.04036177319277369
depth_cues,-0.005253016942275789,-0.022519255007521947
lighting_quality,-0.10278085809651125,-0.08499568689975281
backlighting,0.15022826678512627,0.1716162370591052
silhouette,0.16990641910540472,0.11453037195847224
micro_contrast,0.015923066494831925,-0.031055884195607827
texture_detail,0.011147217935909183,0.014816455654554587
sharpening_artifacts,-0.038821382780662134,0.04487256882138073
denoising_artifacts,0.14062648609299377,0.13658512626812097
compression_artifacts,-0.0624505820396874,-0.09202265211065397
posterization,-0.18376804899938565,-0.10652751071587525
moire_pattern,-0.0455583460431161,0.005775311319798276
banding,0.06022999739648242,0.11682726459736523
vignette_edit,0.10912747456303569,0.0643498708447321
bloom,0.041354217324149734,-0.05690673319906907
clarity,0.310632140594459,0.2614226732058179
atmospheric_haze,0.12927977360204201,0.05904488302711669
retouching,0.00565317733329618,0.07429304429204055
watermark,-0.24557073835553497,-0.17907555300726055
upscaler_artifacts,-0.1868453055683783,-0.02707371983527545
edge_halos,0.017220783576116026,0.08019705925410613
flash_use,0.16550585979795418,0.05493478748808231
camera_shake,-0.015252457814550095,0.04820076671817191
focus_stacking,0.23314085955704464,0.1179725502729099
smartphone_cues,0.01800490997413177,-0.028134455751831003
rolling_shutter,0.0636404007611277,0.04323918025563839
sensor_bloom,-0.11691117509332036,-0.06951398685527699
tone_mapping_baked,-0.117100750164548,-0.07703232922064036
dslr_cues,0.2835390370801257,0.11979059977598122
mirrorless_cues,0.3083950267110545,0.1231998320705476
film_camera_cues,-0.12343014870036316,-0.10393677053204778
medium_format_cues,0.14020341422578134,0.041311827907501694
large_format_cues,0.10117676465774737,0.008362368583146314
instant_camera_cues,-0.3844965715335156,-0.30349510511261324
action_camera_cues,0.21330869734891697,0.13680839059341854
dashcam_cues,0.2252146979413038,0.032964871243833946
cctv_cues,0.24304375402873013,0.08479270670898695
drone_camera_cues,0.24711859162045463,0.10206702942602927
microscope_cues,0.08364983606388876,-0.025537832761001408
night_vision_cues,0.2598052100337841,0.10938120527604245
infrared_camera_cues,0.21854165227855155,0.055826553047484406
pinhole_camera_cues,-0.1871223658422788,-0.13124177844723622
cgi_cues,0.015539682293761958,0.02577056093920337
geometry_consistency,0.18586626862148922,0.07970978743921553
reflection_consistency,0.0573877112533671,0.015026515486682308
shadow_consistency,0.1621734948838576,0.10422083958111182
lighting_direction,-0.03377121819878437,-0.01106552961169895
specular_highlights,0.23595285798061075,0.13013333666272414
texture_realism,-0.14481660775784144,-0.13243669528048496
tiling_artifacts,-0.11684397499104993,-0.03103584033853825
object_boundaries,0.11986354960445778,0.12281119553696054
edge_aliasing,0.1435686267025567,0.03810224678873635
oversharpening,-0.1584603260466437,-0.05116884350030001
text_legibility,-0.2003514576711843,-0.2019969153037356
face_anatomy,0.17255438231421122,0.12116250076047748
hands_correctness,0.08891666806221236,0.049268170613140386
count_consistency,0.11574146695193788,0.11527176486657059
proportion_realism,0.10986947373747508,0.059064589507832777
physics_contact,-0.01254810072667679,-0.01936113166719986
perspective_coherence,0.17260270068796585,0.10252335455117145
occlusion_logic,0.15606282807275576,0.10471563717338947
depth_consistency,-0.12283596744457036,-0.0812908350415372
fabric_realism,-0.01521536738438561,-0.019247180757837185
hair_realism,0.1941344886696018,0.0700539521013699
skin_microtexture,-0.1419952556174464,-0.09358898758789937
eye_catchlight,-0.061163528291254814,0.027510015105533824
sensor_noise_pattern,-0.14617481283052908,-0.1066567896496867
jpeg_grid,-0.08187903423009431,0.013727453133089691
depth_map_halo,-0.022832188761007326,0.057109347935074925
segmentation_errors,0.11125128501878029,0.11724395539598662
style_consistency,0.030763619632250494,-0.004989482969215028
minimalist_style,0.08212646724376002,-0.024106615877932728
cinematic_tone,0.0034494548172433748,-0.012860116020170544
vintage_aesthetic,-0.06148591998846957,-0.03483254681950604
documentary_look,-0.27830346369766923,-0.18972120027451772
studio_quality,0.14747529694471823,0.08142758153277543
imperfection_cues,-0.09824212335770462,-0.018937420399235714
repetition_artifacts,-0.06076767664304877,-0.07645007364821295
detail_variation,-0.0017005014067873977,0.00035014345113212365
glitch_artifacts,0.07083037072215738,0.07635676463342961
cross_processing,0.06806625266879357,0.0120568999030744
fake_lens_effects,-0.10176758085367503,-0.008064279074241835
depth_realism,-0.07405017754791789,-0.03694998834314543
material_specularity,0.19434045843087105,0.0281669141401079
shadow_softness,0.052780036280693415,-0.04385469503097977
specular_noise,0.03051120389575271,-0.039048483342401435
reflection_fresnel,-0.036735412853543425,-0.02660787415150219
subsurface_scattering,-0.06702968049236205,-0.03321538809919862
depth_quantization,-0.09295765351993823,0.007897325649933142
halo_artifacts,0.08500451202257635,0.13821741588971975
ringing_artifacts,-0.0548922690832987,-0.023440369210737708
band_limited_edges,0.05059260276587948,-0.0332296565336047
text_placement,0.031191154191118366,0.08069367590869211
logo_rendering,-0.0533905028243982,-0.060102627885054834
print_texture,-0.08201399865961034,-0.06565487904684535
scan_artifacts,0.0069053788686730625,0.01287998153792689
lens_dirt,-0.07674154979477532,-0.11243721712089327
matte_edges,0.22996309545290675,0.18152225897672802
scene_textures,-0.06735536850747087,-0.06804449617717849
global_illumination,0.27255459854904396,0.09888515145559426
